,model,train_accuracy,test_accuracy,train_loss,test_loss,epoch,time,batch_size,lr,momentum
28,LeNet5,0.9857166666666667,0.985,0.05711308866739273,0.04667029529809952,29,6.846855640411377,2048,0.01,0.9
29,LeNet5,0.9861166666666666,0.9845,0.06059285253286362,0.045577894896268845,30,6.869848251342773,2048,0.01,0.9
30,LeNet5,0.20365,0.2615,2.2825891971588135,2.279031753540039,1,6.950902223587036,4096,0.014142135623730952,0.9
31,LeNet5,0.38121666666666665,0.5331,2.201355457305908,2.1851606369018555,2,6.945838212966919,4096,0.014142135623730952,0.9
32,LeNet5,0.5776333333333333,0.7347,1.427345871925354,1.2568801641464233,3,6.865039110183716,4096,0.014142135623730952,0.9
33,LeNet5,0.779,0.7193,1.6509264707565308,2.267697334289551,4,6.870544195175171,4096,0.014142135623730952,0.9
34,LeNet5,0.5631666666666667,0.6915,1.2781245708465576,1.1434972286224365,5,7.034830093383789,4096,0.014142135623730952,0.9
35,LeNet5,0.8090833333333334,0.8781,0.47805142402648926,0.41422075033187866,6,6.991520166397095,4096,0.014142135623730952,0.9
36,LeNet5,0.8976666666666666,0.927,0.3086435794830322,0.2522197961807251,7,6.808513402938843,4096,0.014142135623730952,0.9
37,LeNet5,0.9275833333333333,0.9412,0.2235056459903717,0.20012183487415314,8,7.057912826538086,4096,0.014142135623730952,0.9
38,LeNet5,0.9399166666666666,0.948,0.20554620027542114,0.16980986297130585,9,6.994030952453613,4096,0.014142135623730952,0.9
39,LeNet5,0.9479333333333333,0.9543,0.1712210476398468,0.14981302618980408,10,6.905553102493286,4096,0.014142135623730952,0.9
40,LeNet5,0.9540666666666666,0.9586,0.14221075177192688,0.1364182084798813,11,6.94240140914917,4096,0.014142135623730952,0.9
41,LeNet5,0.95875,0.9619,0.13084249198436737,0.12204281240701675,12,6.868746995925903,4096,0.014142135623730952,0.9
42,LeNet5,0.9615666666666667,0.9657,0.12331784516572952,0.11112744361162186,13,7.05582857131958,4096,0.014142135623730952,0.9
43,LeNet5,0.9644333333333334,0.9659,0.13533484935760498,0.10547433793544769,14,7.095494270324707,4096,0.014142135623730952,0.9
44,LeNet5,0.9670666666666666,0.969,0.10079600661993027,0.09773121029138565,15,6.908731698989868,4096,0.014142135623730952,0.9
45,LeNet5,0.9677833333333333,0.9704,0.10553234815597534,0.09190673381090164,16,6.877007722854614,4096,0.014142135623730952,0.9
46,LeNet5,0.9697,0.9717,0.09754502773284912,0.08994569629430771,17,6.837584018707275,4096,0.014142135623730952,0.9
47,LeNet5,0.9711666666666666,0.9747,0.09186609089374542,0.08504015952348709,18,6.854220390319824,4096,0.014142135623730952,0.9
48,LeNet5,0.9727,0.9768,0.07301165163516998,0.07949654757976532,19,6.846674680709839,4096,0.014142135623730952,0.9
49,LeNet5,0.97315,0.9752,0.08863773196935654,0.08021724224090576,20,6.8079917430877686,4096,0.014142135623730952,0.9
50,LeNet5,0.9742666666666666,0.9769,0.07350718230009079,0.07495596259832382,21,7.068772554397583,4096,0.014142135623730952,0.9
